=== mini-hermes real experiment transcript ===
started: 2026-08-10T14:35:24+08:00
config: /mnt/d/mini-hermes/config.yaml
gate mode: live

=== PILOT ===
{"ts": "2026-08-10T06:35:31.634362+00:00", "level": "INFO", "logger": "mini_hermes", "event": "experiment_start", "taskName": null, "arm": "control", "seed": 0, "n_tasks": 2, "reps": 3}
arm=control seed=0 顺序=['pilot-02-tokenization', 'pilot-01-sparse-attention']
[control] pilot-02-tokenization rep1/3
{"ts": "2026-08-10T06:35:32.125625+00:00", "level": "INFO", "logger": "mini_hermes", "event": "workflow_start", "run_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "workflow": "academic_paper"}
{"ts": "2026-08-10T06:37:09.300573+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_call", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "arguments_preview": "{\"query\": \"SentencePiece subword tokenizer arXiv 2018 Kudo Richardson\", \"max_results\": 5}"}
{"ts": "2026-08-10T06:37:11.102824+00:00", "level": "INFO", "logger": "mini_hermes", "event": "cassette_record", "taskName": null, "cassette_key": "910b5b2cf45ba9a1bfac50c2f1a84e61", "method": "POST", "url": "https://api.tavily.com/search", "status": 200}
{"ts": "2026-08-10T06:37:11.104202+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_result", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "ok": true, "duration_ms": 1801}
{"ts": "2026-08-10T06:37:11.105917+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_call", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "arguments_preview": "{\"query\": \"byte pair encoding BPE subword tokenization NLP survey 2019 2020 arXiv\", \"max_results\": 5}"}
{"ts": "2026-08-10T06:37:16.262010+00:00", "level": "INFO", "logger": "mini_hermes", "event": "cassette_record", "taskName": null, "cassette_key": "8cc4bb96d71d75ae3d5f16e7ac96d124", "method": "POST", "url": "https://api.tavily.com/search", "status": 200}
{"ts": "2026-08-10T06:37:16.264015+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_result", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "ok": true, "duration_ms": 5152}
{"ts": "2026-08-10T06:37:16.266387+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_call", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "arguments_preview": "{\"query\": \"tokenization large language models GPT LLaMA tokenizer 2023 2024 arXiv\", \"max_results\": 5}"}
{"ts": "2026-08-10T06:37:18.698178+00:00", "level": "INFO", "logger": "mini_hermes", "event": "cassette_record", "taskName": null, "cassette_key": "5d810bbb778b0b9eb55ce81ed247b18d", "method": "POST", "url": "https://api.tavily.com/search", "status": 200}
{"ts": "2026-08-10T06:37:18.699460+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_result", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "ok": true, "duration_ms": 2431}
{"ts": "2026-08-10T06:37:22.619323+00:00", "level": "INFO", "logger": "mini_hermes", "event": "tool_call", "session_id": "exp-control-pilot-02-tokenization-r0", "taskName": null, "tool_name": "web_search", "arguments_preview": "{\"max_results\": 5, \"query\": \"subword regularization Kudo 2018 arXiv neural machine translation\"}"}
{"ts": "2026-08-10T06:37:25.322029+00:00", "level": "INFO", "logger": "mini_hermes", "event": "cassette_record", "taskName": null, "cassette_key": "af9d1b353436000931c8f254d9ff4767", "method": "POST", "url": "https://api.tavily.com/search", "status": 200}
